,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
55,58,61,Brighton,1,True,2023-09-30T11:30:00Z,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.00,57,-3251,56499,1304,4555,58,Youri Tielemans,57,MID,Aston Villa,Brighton,Aston Villa
56,59,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-36,1395,51,87,59,Bertrand Traoré,50,MID,Aston Villa,Brighton,Aston Villa
57,60,61,Brighton,23,True,2023-09-30T11:30:00Z,6,1,7,90,3,2,0,1,0,0,0,0,0,0,3,102,130.0,53.1,91.0,27.4,1,0.81,0.17,0.98,1.71,79,70975,1810773,165220,94245,60,Ollie Watkins,80,FWD,Aston Villa,Brighton,Aston Villa
58,61,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-20,605,0,20,61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,Brighton,Aston Villa
59,584,61,Brighton,2,True,2023-09-30T11:30:00Z,6,1,7,90,0,0,0,1,0,0,0,0,0,0,0,9,5.8,1.1,0.0,0.7,1,0.00,0.00,0.00,1.71,45,3813,213332,15479,11666,584,Pau Torres,45,DEF,Aston Villa,Brighton,Aston Villa
60,599,61,Brighton,8,True,2023-09-30T11:30:00Z,6,1,7,78,0,2,0,1,0,0,0,0,0,0,0,24,24.0,12.1,59.0,9.5,1,0.42,0.04,0.46,1.61,67,73649,1159789,169232,95583,599,Moussa Diaby,67,MID,Aston Villa,Brighton,Aston Villa
61,618,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,166,5347,679,513,618,Omari Kellyman,45,MID,Aston Villa,Brighton,Aston Villa
62,62,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-960,6439,0,960,62,Jaidon Anthony,49,MID,Bournemouth,Arsenal,Bournemouth
63,63,62,Arsenal,2,True,2023-09-30T14:00:00Z,0,4,7,74,0,0,0,3,0,0,0,0,0,0,0,6,4.4,2.8,14.0,2.1,1,0.16,0.01,0.17,2.80,53,-1888,38643,1970,3858,63,Philip Billing,53,MID,Bournemouth,Arsenal,Bournemouth
64,64,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-584,10298,706,1290,64,David Brooks,49,MID,Bournemouth,Arsenal,Bournemouth
65,65,62,Arsenal,2,True,2023-09-30T14:00:00Z,0,4,7,82,0,0,0,3,0,0,0,0,0,0,0,3,5.2,12.8,27.0,4.5,1,0.11,0.07,0.18,2.89,50,1364,4434,1799,435,65,Ryan Christie,50,MID,Bournemouth,Arsenal,Bournemouth
66,66,62,Arsenal,2,True,2023-09-30T14:00:00Z,0,4,7,90,0,0,0,4,0,0,0,0,0,0,0,12,7.8,3.6,0.0,1.1,1,0.00,0.03,0.03,3.47,50,-18,1888,101,119,66,Lewis Cook,50,MID,Bournemouth,Arsenal,Bournemouth
67,67,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-12,328,0,12,67,Siriki Dembélé,45,MID,Bournemouth,Arsenal,Bournemouth
68,68,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-79,1384,51,130,68,Ryan Fredericks,44,DEF,Bournemouth,Arsenal,Bournemouth
69,69,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1664,17584,0,1664,69,James Hill,40,DEF,Bournemouth,Arsenal,Bournemouth
70,70,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-501,3487,164,665,70,Lloyd Kelly,45,DEF,Bournemouth,Arsenal,Bournemouth
71,71,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-80,7251,489,569,71,Gavin Kilkenny,44,MID,Bournemouth,Arsenal,Bournemouth
72,72,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,58,0,0,0,3,0,0,0,0,0,0,0,2,0.2,0.8,0.0,0.1,1,0.00,0.03,0.03,2.71,47,-1779,22557,726,2505,72,Justin Kluivert,47,MID,Bournemouth,Arsenal,Bournemouth
73,73,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-66,1078,0,66,73,Jamal Lowe,49,MID,Bournemouth,Arsenal,Bournemouth
74,74,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-94,1843,72,166,74,Emiliano Marcondes,44,MID,Bournemouth,Arsenal,Bournemouth
75,75,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-395,6001,193,588,75,Chris Mepham,43,DEF,Bournemouth,Arsenal,Bournemouth
76,76,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-1503,26258,1009,2512,76,Kieffer Moore,47,FWD,Bournemouth,Arsenal,Bournemouth
77,77,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,90,0,0,0,4,0,0,0,0,0,4,0,16,35.8,0.0,0.0,3.6,1,0.00,0.00,0.00,3.47,45,9578,153246,20156,10578,77,Norberto Murara Neto,45,GKP,Bournemouth,Arsenal,Bournemouth
78,78,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,31,0,0,0,1,0,0,0,0,0,0,0,4,5.6,2.3,9.0,1.7,0,0.17,0.04,0.21,0.75,48,-71,1516,49,120,78,Dango Ouattara,48,MID,Bournemouth,Arsenal,Bournemouth
79,79,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-8,96,0,8,79,Ben Pearson,45,MID,Bournemouth,Arsenal,Bournemouth
80,80,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1066,52757,545,1611,80,Darren Randolph,40,GKP,Bournemouth,Arsenal,Bournemouth
81,81,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,15,0,0,0,1,0,0,0,0,0,0,0,3,0.6,1.0,0.0,0.2,0,0.00,0.01,0.01,0.66,49,-82,1850,22,104,81,Joe Rothwell,49,MID,Bournemouth,Arsenal,Bournemouth
82,82,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,7,0,0,0,1,0,0,0,0,0,0,0,0,1.2,0.8,0.0,0.2,0,0.00,0.00,0.00,0.58,45,-7964,298754,25739,33703,82,Antoine Semenyo,45,FWD,Bournemouth,Arsenal,Bournemouth
83,83,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,90,0,0,0,4,0,0,0,0,0,0,0,11,20.0,2.5,0.0,2.3,1,0.00,0.03,0.03,3.47,44,-606,14314,491,1097,83,Marcos Senesi,44,DEF,Bournemouth,Arsenal,Bournemouth
84,84,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,7,0,0,0,1,0,0,0,0,0,0,0,2,0.6,1.2,0.0,0.2,0,0.00,0.03,0.03,0.58,44,4,1704,82,78,84,Adam Smith,44,DEF,Bournemouth,Arsenal,Bournemouth
85,85,62,Arsenal,2,True,2023-09-30T14:00:00Z,0,4,7,90,0,0,0,4,0,0,0,0,0,0,0,3,3.8,21.7,18.0,4.4,1,0.15,0.14,0.29,3.47,64,-16189,210153,19271,35460,85,Dominic Solanke,64,FWD,Bournemouth,Arsenal,Bournemouth
86,86,62,Arsenal,1,True,2023-09-30T14:00:00Z,0,4,7,58,0,0,0,3,0,0,0,0,0,0,0,3,3.2,19.8,4.0,2.7,1,0.02,0.19,0.21,2.71,54,503,2526,755,252,86,Marcus Tavernier,54,MID,Bournemouth,Arsenal,Bournemouth
87,87,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-63,1850,40,103,87,Hamed Traorè,48,MID,Bournemouth,Arsenal,Bournemouth
88,88,62,Arsenal,0,True,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-478,11205,0,478,88,Mark Travers,40,GKP,Bournemouth,Arsenal,Bournemouth
