,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
486,,False,2023-08-19T19:00:00Z,,,,,,,,,,,,,,,,,,60,,,,,Allan Saint-Maximin,,MID,Newcastle,2,,Man City,4,1,3.1813361611876987,2,1.0,6.0,66.0,1109.0,14.0,344.1,266.4,370.0,4.0,240.0,98.2,4.0,0.0,1.0,3.1,61.0,MID,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8130.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,,True,2023-08-20T15:30:00Z,,,,,,,,,,,,,,,,,,40,,,,,Alphonse Areola,,GKP,West Ham,2,,Chelsea,14,12,3.0651340996168583,1,0.0,0.0,7.0,307.0,7.0,0.0,69.4,0.0,0.0,42.0,6.8,0.0,0.0,0.0,0.9,43.0,GK,2023-24,0.0,0.0,16.0,0.0,0.0,1.0,0.0,2.1,21.2,90.0,0.0,0.0,0.0,0.0,4.0,1900454.0,0.0,3.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,,False,2023-08-19T16:30:00Z,,,,,,,,,,,,,,,,,,45,,,,,Amad Diallo,,MID,Man Utd,2,,Spurs,3,8,2.459016393442623,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,MID,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4577.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,,False,2023-08-20T13:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Amadou Onana,,MID,Everton,2,,Aston Villa,17,7,3.3783783783783785,6,1.0,3.0,77.0,2486.0,37.0,295.1,347.2,280.0,2.0,300.0,92.0,9.0,0.0,9.0,0.1,47.0,MID,2023-24,0.0,0.0,18.0,0.0,38.1,1.0,0.0,6.7,11.4,90.0,0.0,0.0,0.0,0.0,0.0,20548.0,17.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,,False,2023-08-25T19:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Amari'i Bell,,DEF,Luton,2,,Chelsea,20,12,2.366863905325444,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,773157.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,,True,2023-08-27T13:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Ameen Al-Dakhil,,DEF,Burnley,2,,Aston Villa,20,7,2.3255813953488373,3,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,41402.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,,True,2023-08-27T13:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Anass Zaroury,,MID,Burnley,2,,Aston Villa,20,7,2.9069767441860463,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,-6.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,12451.0,0.0,-2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Andi Zeqiri,,FWD,Brighton,2,,Wolves,6,13,2.7027027027027026,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100072.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,,False,2023-08-18T18:45:00Z,,,,,,,,,,,,,,,,,,45,,,,,Andre Brooks,,MID,Sheffield Utd,2,,Nott'm Forest,20,16,3.2490974729241877,6,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,True,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,55,,,,,Andreas Hoelgebaum Pereira,,MID,Fulham,2,,Brentford,10,9,3.942652329749104,0,4.0,10.0,123.0,2696.0,40.0,965.0,440.6,495.0,9.0,360.0,189.3,8.0,0.0,8.0,10.1,43.0,MID,2023-24,1.0,0.0,10.0,0.0,0.8,0.0,0.0,0.3,0.6,32.0,0.0,0.0,0.0,0.0,0.0,93427.0,2.0,4.0,0.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
